state_fips,Code,region,division,county_name,state_name,pop1970,pop1971,pop1972,pop1973,pop1974,pop1975,pop1976,pop1977,pop1978,pop1979,pop1980,pop1981,pop1982,pop1983,pop1984,pop1985,pop1986,pop1987,pop1988,pop1989,pop1999,pop1998,pop1997,pop1996,pop1995,pop1994,pop1993,pop1992,pop1991,pop1990,pop2000,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006
13,500114,3,5,Brantley County,Georgia,5940,6000,6200,6600,6900,7000,7200,7200,7300,7700,8701,8933,9191,9222,9497,9705,10158,10399,10587,10873,13895,13528,13273,12908,12612,12328,11846,11537,11222,11111,14629,14923,15207,15365,15424,15474,15735
13,500115,3,5,Brooks County,Georgia,13743,14100,14500,14300,14400,14600,14800,14400,14300,15100,15255,15290,15455,15518,15489,15472,15448,15458,15523,15521,16122,15914,15799,15725,15774,15599,15737,15419,15470,15374,16450,16332,16280,16207,16290,16269,16464
13,500116,3,5,Bryan County,Georgia,6539,6800,7100,7600,8100,8400,8700,8800,9100,9700,10175,10569,10569,10979,11222,11650,12299,13227,14173,14786,24394,23395,23119,22209,21157,19961,18794,17487,16353,15665,23417,24246,25071,26138,27468,28575,29648
13,500117,3,5,Bulloch County,Georgia,31585,32100,32500,32800,32800,32700,33400,33900,34300,35400,35785,36717,37277,37682,37755,38600,39348,40363,41210,42320,50777,50554,49869,49236,48362,47666,46526,45340,44184,43317,55983,56653,57098,58886,60084,62011,63207
13,500118,3,5,Burke County,Georgia,18255,18300,18200,18500,18300,18700,18700,19300,19400,19200,19349,19611,19912,20510,20419,20796,21282,20905,20982,20767,23217,22825,22460,21846,21652,21481,21322,20951,20594,20540,22243,22725,22777,22878,23086,23154,22986
13,500119,3,5,Butts County,Georgia,10560,11000,11100,12300,12500,12700,13000,13100,13500,13700,13665,13717,14598,14412,14410,14550,14710,15275,15334,15241,18380,17822,17238,16546,16030,15645,15867,15642,15534,15409,19522,20450,21435,22111,22390,22837,23561
13,500223,3,5,Calhoun County,Georgia,6606,6100,6100,6300,6400,6300,6200,6100,6000,5900,5717,5737,5672,5596,5520,5477,5397,5228,5131,5046,4936,5002,5065,4918,4916,4938,4966,4859,4979,4999,6320,6280,6300,6118,6075,6025,6094
13,500224,3,5,Camden County,Georgia,11334,11700,11400,11600,11400,11400,11300,11200,11000,12400,13371,14707,16093,16971,17797,18530,20309,22003,23906,27841,47032,47322,45571,42953,40697,41190,39663,37568,34163,30795,43664,44477,45203,44300,44973,45751,45118
13,500226,3,5,Candler County,Georgia,6412,6300,6400,6600,6700,7000,7100,7200,7300,7300,7518,7504,7610,7636,7609,7560,7502,7530,7581,7616,8953,9099,8869,8614,8581,8444,8259,8023,7940,7778,9577,9533,9856,10047,10175,10352,10674
13,500227,3,5,Carroll County,Georgia,45404,47800,50100,51900,53200,54100,54800,55000,55100,55900,56346,57818,59634,61069,62069,63609,65134,67412,69289,70181,84765,82904,81124,79545,77898,76452,74866,73799,72944,71869,87268,91557,94854,98619,101389,104386,107325
